gene_id,gene_name,chromosome,gene_start,gene_end,gene_strand,transcript_id,transcript_name,transcript_start,transcript_end,TSS,TES,gene_id_unversioned
ENSG00000223972.5,DDX11L1,chr1,11869,14409,+,ENST00000456328.2,DDX11L1-202,11869,14409,11869,14409,ENSG00000223972
ENSG00000227232.5,WASH7P,chr1,14404,29570,-,ENST00000488147.1,WASH7P-201,14404,29570,29570,14404,ENSG00000227232
ENSG00000278267.1,MIR6859-1,chr1,17369,17436,-,ENST00000619216.1,MIR6859-1-201,17369,17436,17436,17369,ENSG00000278267
ENSG00000243485.5,MIR1302-2HG,chr1,29554,31109,+,ENST00000473358.1,MIR1302-2HG-202,29554,31097,29554,31097,ENSG00000243485
ENSG00000284332.1,MIR1302-2,chr1,30366,30503,+,ENST00000607096.1,MIR1302-2-201,30366,30503,30366,30503,ENSG00000284332
ENSG00000237613.2,FAM138A,chr1,34554,36081,-,ENST00000417324.1,FAM138A-201,34554,36081,36081,34554,ENSG00000237613
ENSG00000268020.3,OR4G4P,chr1,52473,53312,+,ENST00000606857.1,OR4G4P-201,52473,53312,52473,53312,ENSG00000268020
ENSG00000240361.2,OR4G11P,chr1,57598,64116,+,ENST00000642116.1,OR4G11P-202,57598,64116,57598,64116,ENSG00000240361
ENSG00000186092.6,OR4F5,chr1,65419,71585,+,ENST00000641515.2,OR4F5-202,65419,71585,65419,71585,ENSG00000186092
ENSG00000238009.6,AL627309.1,chr1,89295,133723,-,ENST00000453576.2,AL627309.1-204,129081,133566,133566,129081,ENSG00000238009
ENSG00000239945.1,AL627309.3,chr1,89551,91105,-,ENST00000495576.1,AL627309.3-201,89551,91105,91105,89551,ENSG00000239945
ENSG00000233750.3,CICP27,chr1,131025,134836,+,ENST00000442987.3,CICP27-201,131025,134836,131025,134836,ENSG00000233750
ENSG00000268903.1,AL627309.6,chr1,135141,135895,-,ENST00000494149.2,AL627309.6-201,135141,135895,135895,135141,ENSG00000268903
ENSG00000269981.1,AL627309.7,chr1,137682,137965,-,ENST00000595919.1,AL627309.7-201,137682,137965,137965,137682,ENSG00000269981
ENSG00000239906.1,AL627309.2,chr1,139790,140339,-,ENST00000493797.1,AL627309.2-201,139790,140339,140339,139790,ENSG00000239906
ENSG00000241860.6,AL627309.5,chr1,141474,173862,-,ENST00000466557.6,AL627309.5-203,146386,173862,173862,146386,ENSG00000241860
ENSG00000222623.1,RNU6-1100P,chr1,157784,157887,-,ENST00000410691.1,RNU6-1100P-201,157784,157887,157887,157784,ENSG00000222623
ENSG00000241599.1,AL627309.4,chr1,160446,161525,+,ENST00000496488.1,AL627309.4-201,160446,161525,160446,161525,ENSG00000241599
ENSG00000279928.2,FO538757.2,chr1,182696,184174,+,ENST00000624431.2,FO538757.2-201,182696,184174,182696,184174,ENSG00000279928
ENSG00000279457.4,FO538757.1,chr1,185217,195411,-,ENST00000623083.4,FO538757.1-201,185217,195411,195411,185217,ENSG00000279457
ENSG00000273874.1,MIR6859-2,chr1,187891,187958,-,ENST00000612080.1,MIR6859-2-201,187891,187958,187958,187891,ENSG00000273874
ENSG00000228463.10,AP006222.1,chr1,257864,359681,-,ENST00000441866.2,AP006222.1-203,258144,359681,359681,258144,ENSG00000228463
ENSG00000236679.2,RPL23AP24,chr1,347982,348366,-,ENST00000458203.2,RPL23AP24-201,347982,348366,348366,347982,ENSG00000236679
ENSG00000236601.2,AL732372.1,chr1,358857,366052,+,ENST00000412666.1,AL732372.1-202,358872,365510,358872,365510,ENSG00000236601
ENSG00000237094.12,AL732372.2,chr1,365389,522928,-,ENST00000616947.2,AL732372.2-219,497275,498976,498976,497275,ENSG00000237094
ENSG00000269732.1,WBP1LP7,chr1,439870,440232,+,ENST00000437905.2,WBP1LP7-201,439870,440232,439870,440232,ENSG00000269732
ENSG00000284733.1,OR4F29,chr1,450703,451697,-,ENST00000426406.3,OR4F29-201,450703,451697,451697,450703,ENSG00000284733
ENSG00000233653.3,CICP7,chr1,487101,489906,+,ENST00000432723.3,CICP7-201,487101,489906,487101,489906,ENSG00000233653
ENSG00000250575.1,AL732372.3,chr1,491225,493241,-,ENST00000514436.1,AL732372.3-201,491225,493241,493241,491225,ENSG00000250575
ENSG00000278757.1,RF00026,chr1,516376,516479,-,ENST00000614007.1,RF00026.90-201,516376,516479,516479,516376,ENSG00000278757
ENSG00000230021.10,AL669831.3,chr1,586071,827796,-,ENST00000452176.2,AL669831.3-211,627377,631150,631150,627377,ENSG00000230021
ENSG00000235146.2,AC114498.1,chr1,587629,594768,+,ENST00000450696.1,AC114498.1-202,587668,594574,587668,594574,ENSG00000235146
ENSG00000225972.1,MTND1P23,chr1,629062,629433,+,ENST00000416931.1,MTND1P23-201,629062,629433,629062,629433,ENSG00000225972
ENSG00000225630.1,MTND2P28,chr1,629640,630683,+,ENST00000457540.1,MTND2P28-201,629640,630683,629640,630683,ENSG00000225630
