gene_id,TSS_B37
ENSG00000000003,99894988
ENSG00000000005,99839934
ENSG00000000419,49575677
ENSG00000000457,169863408
ENSG00000000460,169631246
ENSG00000000938,27961696
ENSG00000000971,196621174
ENSG00000001036,143832857
ENSG00000001084,53481768
ENSG00000001167,41040714
ENSG00000001460,24743424
ENSG00000001461,24742293
ENSG00000001497,64754690
ENSG00000001561,46097727
ENSG00000001617,50192479
ENSG00000001626,116927175
ENSG00000001629,91875289
ENSG00000001630,91764117
ENSG00000001631,91875480
ENSG00000002016,1099219
ENSG00000002079,98836453
ENSG00000002330,64052176
ENSG00000002549,17578822
ENSG00000002586,2609229
ENSG00000002587,11431188
ENSG00000002726,150521716
ENSG00000002745,120965422
ENSG00000002746,43152229
ENSG00000002822,2272878
ENSG00000002834,37026113
ENSG00000002919,46180720
ENSG00000002933,150497492
ENSG00000003056,9102357
ENSG00000003096,117251303
ENSG00000003137,72374991
ENSG00000003147,8302317
ENSG00000003249,90086298
ENSG00000003393,202646835
ENSG00000003400,202047622
ENSG00000003402,201980878
ENSG00000003436,188430487
ENSG00000003509,37458775
ENSG00000003756,50126353
ENSG00000003987,17271037
ENSG00000003989,17354598
ENSG00000004059,127228441
ENSG00000004139,26691379
ENSG00000004142,26684550
ENSG00000004399,129325519
ENSG00000004455,33546597
ENSG00000004468,15779899
ENSG00000004478,2904137
ENSG00000004487,23345937
ENSG00000004534,49977441
ENSG00000004660,3798185
ENSG00000004700,21654603
ENSG00000004766,92861654
ENSG00000004776,36248980
ENSG00000004777,36265435
ENSG00000004779,23607637
ENSG00000004799,95225828
ENSG00000004809,110797844
ENSG00000004838,50383163
ENSG00000004846,20655291
ENSG00000004848,25034537
ENSG00000004864,95951459
ENSG00000004866,116593293
ENSG00000004897,45266788
ENSG00000004939,42345509
ENSG00000004948,93204042
ENSG00000004961,11129422
ENSG00000004975,7137836
ENSG00000005001,2908171
ENSG00000005007,18942769
ENSG00000005020,27034858
ENSG00000005022,118602386
ENSG00000005059,110481366
ENSG00000005073,27224851
ENSG00000005075,102119369
ENSG00000005100,5372302
ENSG00000005102,41739290
ENSG00000005108,11871824
ENSG00000005156,33307532
ENSG00000005175,48099813
ENSG00000005187,20621566
ENSG00000005189,20817752
ENSG00000005194,57481332
ENSG00000005206,2328615
ENSG00000005238,35116338
ENSG00000005243,46115392
ENSG00000005249,106685151
ENSG00000005302,11776279
ENSG00000005339,3930714
ENSG00000005379,56406156
ENSG00000005381,56358296
ENSG00000005421,94953844
ENSG00000005436,75938111
ENSG00000005448,74648806
ENSG00000005469,86974981
ENSG00000005471,87109751
ENSG00000005483,104581391
ENSG00000005486,75471921
ENSG00000005513,1031771
ENSG00000005700,82957471
ENSG00000005801,3400452
ENSG00000005810,77901229
ENSG00000005812,77601330
ENSG00000005844,30483980
ENSG00000005882,48172102
ENSG00000005884,48133333
ENSG00000005889,24167291
ENSG00000005893,119603220
